"title","description","quantity_available"
"The Great Gatsby","A mysterious millionaire throws lavish parties in pursuit of a lost love.","5"
"To Kill a Mockingbird","A young girl grows up in the racially charged South during the 1930s.","7"
"Nineteen Eighty-Four","A dystopian society is ruled by surveillance and oppressive government.","6"
"The Catcher in the Rye","A disenchanted teenager wanders New York City in search of meaning.","8"
"The Hobbit","A hobbit is swept into a quest to reclaim a dwarven treasure hoard.","4"
"Harry Potter and the Sorcerer's Stone","A young boy discovers he's a wizard and begins his magical education.","9"
"The Da Vinci Code","A symbologist uncovers secrets hidden in art and history after a murder.","10"
"The Alchemist","A shepherd boy dreams of finding treasure and embarks on a spiritual quest.","3"
"Pride and Prejudice","A romantic clash of manners and class in 19th-century England.","2"
"A Game of Thrones","Noble families vie for control of the Iron Throne in a brutal fantasy realm.","5"
"The Name of the Wind","A gifted young man grows into a powerful wizard in a world of magic.","7"
"Gone Girl","A woman's disappearance turns into a media frenzy with dark secrets.","4"
"The Haunting of Hill House","A group of people investigate a mansion with a sinister reputation.","5"
"Outlander","A WWII nurse is swept back in time to 18th-century Scotland and finds love.","9"
"Milk and Honey","A collection of poetry on love, loss, trauma, and healing.","6"
"Foundation","A mathematician predicts the fall of a galactic empire and works to save knowledge.","3"
"Educated","A woman born to survivalists seeks education and escapes her isolated life.","8"
"Oxford English Dictionary","The definitive guide to the meaning and history of English words.","2"
"Fluent in 3 Months","A practical guide to rapid language acquisition and real-world fluency.","4"
"The Book Thief","A girl steals books and shares stories in Nazi Germany.","7"
"The Shawshank Redemption","A man imprisoned for murder forms a deep bond with another inmate.","9"
"The Godfather","A powerful crime family struggles with power, loyalty, and betrayal.","8"
"The Dark Knight","Batman faces his greatest challenge yet from the anarchic Joker.","6"
"Pulp Fiction","Intertwined stories of crime, drugs, and redemption in Los Angeles.","7"
"The Lion King","A lion cub prince flees his kingdom before returning to reclaim it.","9"
"Titanic","A love story unfolds aboard the ill-fated RMS Titanic.","5"
"Jurassic Park","A theme park with cloned dinosaurs goes horribly wrong.","5"
"Toy Story","A cowboy doll feels threatened when a new toy arrives.","9"
"Get Out","A Black man uncovers dark secrets during a visit to his white girlfriend’s family.","6"
"The Notebook","A young couple falls in love during the early 1940s.","8"
"Spider-Man: No Way Home","Spider-Man teams up with alternate versions of himself to save the world.","6"
"The Exorcist","A young girl is possessed by a demonic entity.","5"
"La La Land","A musician and actress fall in love while pursuing their dreams.","8"
"WALL-E","A waste-collecting robot discovers the fate of humanity.","7"
"Black Panther","A king returns to his African nation and becomes the superhero Black Panther.","3"
"Her","A man falls in love with an intelligent operating system.","6"
"Coco","A boy journeys to the Land of the Dead to discover his family's past.","7"
"The Silence of the Lambs","An FBI trainee seeks help from a brilliant but psychotic killer.","3"
"Schindler’s List","A businessman saves hundreds of Jews during the Holocaust.","4"
"The Matrix","A hacker discovers reality is a simulation and joins a rebellion.","8"
"Abbey Road","The Beatles' iconic final studio album featuring “Come Together.”","7"
"Thriller","Michael Jackson’s groundbreaking pop masterpiece.","8"
"To Pimp a Butterfly","Kendrick Lamar’s poetic and powerful hip-hop concept album.","6"
"21","Adele’s soulful breakout album with heartfelt ballads.","3"
"Kind of Blue","Miles Davis’ legendary and influential jazz record.","5"
